City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kudahuvadhoo,2.6708,72.8944,27.84,73,100,1.81,MV,1680052242
1,bethel,41.3712,-73.414,7.58,55,0,0.0,US,1680052242
2,mulege,26.8833,-111.9833,21.35,28,0,2.38,MX,1680052242
3,albany,42.6001,-73.9662,4.96,67,6,3.24,US,1680051995
4,punta arenas,-53.15,-70.9167,2.84,80,20,4.12,CL,1680052068
5,calabozo,8.9242,-67.4293,29.91,32,37,2.67,VE,1680052242
6,busselton,-33.65,115.3333,18.0,57,17,6.14,AU,1680052212
7,zhanakorgan,43.9098,67.2495,15.67,36,100,4.25,KZ,1680052243
8,klaksvik,62.2266,-6.589,4.51,71,100,13.06,FO,1680052166
9,east london,-33.0153,27.9116,18.25,72,46,10.14,ZA,1680052193
10,baykit,61.67,96.37,-8.58,95,100,1.24,RU,1680052074
11,ancud,-41.8697,-73.8203,8.13,67,42,4.38,CL,1680052241
12,maragogi,-9.0122,-35.2225,25.85,81,3,3.42,BR,1680052163
13,ouargaye,11.5033,0.0572,29.75,42,9,1.38,BF,1680052244
14,novyy urgal,51.0736,132.5642,4.0,52,100,3.45,RU,1680052244
15,alta floresta,-9.8756,-56.0861,22.04,95,100,0.96,BR,1680052244
16,jiazi,22.8779,116.067,18.28,80,99,6.75,CN,1680052244
17,rikitea,-23.1203,-134.9692,26.69,76,86,4.92,PF,1680052166
18,puerto ayora,-0.7393,-90.3518,26.97,91,72,1.79,EC,1680052244
19,vaini,-21.2,-175.2,29.09,84,40,3.6,TO,1680052245
20,boyolangu,-8.1181,111.8935,27.2,78,95,0.46,ID,1680052245
21,faanui,-16.4833,-151.75,27.97,75,21,3.94,PF,1680052173
22,storforshei,66.4043,14.5233,-17.12,77,4,1.03,NO,1680052245
23,avarua,-21.2078,-159.775,26.03,89,75,3.6,CK,1680052245
24,pevek,69.7008,170.3133,-11.16,78,18,8.3,RU,1680052245
25,celestun,20.8667,-90.4,25.87,83,6,7.53,MX,1680052245
26,tilichiki,60.4667,166.1,-6.17,77,5,5.92,RU,1680052246
27,kruisfontein,-34.0033,24.7314,17.16,85,13,7.19,ZA,1680052246
28,nantucket,41.2835,-70.0995,4.06,86,100,2.06,US,1680052163
29,san patricio,28.017,-97.5169,22.13,49,100,6.8,US,1680052246
30,hambantota,6.1241,81.1185,24.94,78,52,2.17,LK,1680052246
31,butaritari,3.0707,172.7902,27.29,81,41,5.99,KI,1680052246
32,faya,18.3851,42.4509,12.29,48,25,1.47,SA,1680052196
33,kidal,18.4411,1.4078,24.38,7,1,4.93,ML,1680052246
34,ushuaia,-54.8,-68.3,1.81,80,75,7.2,AR,1680052246
35,coihaique,-45.5752,-72.0662,2.34,93,75,1.03,CL,1680052247
36,petatlan,17.5167,-101.2667,28.89,61,0,0.98,MX,1680052247
37,mataura,-46.1927,168.8643,11.38,56,84,2.2,NZ,1680052162
38,namatanai,-3.6667,152.4333,29.51,68,75,0.18,PG,1680052247
39,hilo,19.7297,-155.09,26.64,82,100,6.69,US,1680051964
40,kodiak,57.79,-152.4072,7.73,53,75,4.12,US,1680052197
41,coolum beach,-26.5333,153.1,27.84,78,100,3.2,AU,1680052247
42,cortona,43.2745,11.9871,4.63,68,21,0.76,IT,1680052247
43,longyearbyen,78.2186,15.6401,-14.09,72,75,4.12,SJ,1680052190
44,nome,64.5011,-165.4064,-7.72,93,100,7.2,US,1680052032
45,tuktoyaktuk,69.4541,-133.0374,-12.88,82,100,8.1,CA,1680052248
46,sitka,57.0531,-135.33,5.94,70,100,7.72,US,1680052032
47,yerofey pavlovich,53.9667,121.9667,-1.71,67,100,5.53,RU,1680052248
48,zyryanovsk,49.7386,84.2719,0.59,95,100,0.21,KZ,1680052248
49,port lincoln,-34.7333,135.8667,18.41,66,61,6.11,AU,1680052201
50,castro,-24.7911,-50.0119,17.1,96,24,1.82,BR,1680052174
51,hithadhoo,-0.6,73.0833,28.09,74,54,2.62,MV,1680052248
52,chuy,-33.6971,-53.4616,20.38,84,0,5.16,UY,1680052248
53,bluff,-46.6,168.3333,11.56,59,81,6.03,NZ,1680052167
54,zhoucun,36.8167,117.8167,18.99,29,5,4.58,CN,1680052249
55,victoria,22.2855,114.1577,20.21,91,100,6.71,HK,1680052153
56,bambous virieux,-20.3428,57.7575,23.45,80,21,2.88,MU,1680052249
57,constitucion,-35.3333,-72.4167,13.22,86,73,5.93,CL,1680052249
58,hermanus,-34.4187,19.2345,14.89,71,100,3.27,ZA,1680052165
59,carutapera,-1.195,-46.02,24.14,92,100,2.03,BR,1680052201
60,lusambo,-4.9667,23.45,21.13,91,99,0.83,CD,1680052249
61,kysyl-syr,63.8986,122.7617,-16.36,85,39,3.58,RU,1680052250
62,port elizabeth,-33.918,25.5701,18.39,80,68,4.47,ZA,1680052250
63,labuan,5.2767,115.2417,26.33,83,74,2.65,MY,1680052139
64,broome,42.2506,-75.833,3.21,74,0,1.54,US,1680052250
65,lukashin,40.1758,44.0186,15.51,43,4,2.02,AM,1680052250
66,tuatapere,-46.1333,167.6833,11.79,50,14,4.47,NZ,1680052250
67,saint-augustin,51.226,-58.6502,0.23,97,100,0.94,CA,1680052250
68,yellowknife,62.456,-114.3525,-6.79,96,100,2.33,CA,1680052173
69,chkalovskoye,44.8392,133.0436,9.33,37,0,6.2,RU,1680052251
70,esperance,-33.8667,121.9,18.05,67,34,2.68,AU,1680052225
71,puerto ayacucho,5.6639,-67.6236,27.11,66,99,2.58,VE,1680052251
72,yulara,-25.2406,130.9889,25.29,48,91,6.9,AU,1680052251
73,srednekolymsk,67.45,153.6833,-8.97,79,100,5.6,RU,1680052251
74,burnie,-41.0667,145.9167,16.64,89,100,4.35,AU,1680052251
75,togur,58.3631,82.8265,3.51,81,81,7.07,RU,1680052213
76,pyapon,16.2833,95.6833,25.85,67,55,2.65,MM,1680052251
77,ribeira grande,38.5167,-28.7,13.21,84,13,4.92,PT,1680052252
78,north bend,43.4065,-124.2243,12.36,71,75,5.14,US,1680052153
79,tiksi,71.6872,128.8694,-23.42,89,97,4.57,RU,1680052252
80,vao,-22.6667,167.4833,24.84,79,62,7.71,NC,1680052252
81,tepexpan,18.7458,-97.1544,15.03,84,94,2.8,MX,1680052252
82,tasiilaq,65.6145,-37.6368,-13.91,65,0,2.97,GL,1680052252
83,vila velha,-20.3297,-40.2925,27.19,82,100,1.54,BR,1680052252
84,dwarka,22.2394,68.9678,23.25,72,0,2.97,IN,1680052253
85,lompoc,34.6391,-120.4579,14.88,80,100,11.62,US,1680052253
86,jamestown,42.097,-79.2353,3.9,66,0,1.54,US,1680052163
87,olinda,-8.0089,-34.8553,27.85,74,75,6.69,BR,1680052021
88,thompson,55.7435,-97.8558,-13.72,89,100,4.09,CA,1680052253
89,luzhou,28.8724,105.4405,13.08,93,100,1.42,CN,1680052253
90,taloqan,36.7361,69.5345,15.36,44,100,0.86,AF,1680052253
